C202
CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND.  IDTYPEVEHICLE.  READY TIME.   DUE DATE.   SERVICETIME.
 
    0      40         50          0           1             0          3390          0
    1      52         75         10           2             0          3272         90
    2      45         70         30           2             0          3279         90
    3      62         69         10           5             0          3270         90
    4      60         66         10           6          1261          1421         90
    5      42         65         10           6             0          3284         90
    6      16         42         20           6           497           657         90
    7      58         70         20          10             0          3273         90
    8      34         60         20          11          2887          3047         90
    9      28         70         10          11          2601          2761         90
   10      35         66         10          11          2791          2951         90
   11      35         69         10          10          2698          2858         90
   12      25         85         20           9             0          3261         90
   13      22         75         30           9          2405          2565         90
   14      22         85         10           7          2026          2186         90
   15      20         80         40           8          2216          2376         90
   16      20         85         40           8          1934          2094         90
   17      18         75         20          10          2311          2471         90
   18      15         75         20          11          1742          1902         90
   19      15         80         10          22          1837          1997         90
   20      30         50         10           4            10           170         90
   21      30         56         20           4             0          3288         90
   22      28         52         20           5            22           182         90
   23      14         66         10           6          1643          1803         90
   24      25         50         10           7           116           276         90
   25      22         66         40           7          2504          2664         90
   26       8         62         10           2             0          3265         90
   27      23         52         10          10           209           369         90
   28       4         55         20           1          1447          1607         90
   29      20         50         10           2           398           558         90
   30      20         55         10           3           303           463         90
   31      10         35         20           4             0          3266         90
   32      10         40         30           5           593           753         90
   33       8         40         40           2           685           845         90
   34       8         45         20           2             0          3267         90
   35       5         35         10           2           876          1036         90
   36       5         45         10           2          1253          1413         90
   37       2         40         20           4             0          3260         90
   38       0         40         30           1          1063          1223         90
   39       0         45         20           2          1158          1318         90
   40      36         18         10           4          1819          1979         90
   41      35         32         10           4          2758          2918         90
   42      33         32         20           5          2666          2826         90
   43      33         35         10           6          2573          2733         90
   44      32         20         10           7          1913          2073         90
   45      30         30         10           6          2105          2265         90
   46      34         25         30          11          2009          2169         90
   47      30         35         10          10          2480          2640         90
   48      36         40         10          11             0          3289         90
   49      48         20         10           2           967          1127         90
   50      26         32         10           3             0          3277         90
   51      25         30         10           4          2200          2360         90
   52      25         35         10           5             0          3278         90
   53      44          5         20           6          1256          1416         90
   54      42         10         40           7          1160          1320         90
   55      42         15         10           8          1065          1225         90
   56      40          5         30           4          1350          1510         90
   57      38         15         40           4          1725          1885         90
   58      38          5         30           1          1442          1602         90
   59      38         10         10           2             0          3259         90
   60      35          5         20           3          1535          1695         90
   61      50         30         10           4           401           561         90
   62      50         35         20           5           120           280         90
   63      50         40         50           6            25           185         90
   64      48         30         10           7           493           653         90
   65      44         25         10           8           871          1031         90
   66      47         35         10           4           588           748         90
   67      47         40         10           4            12           172         90
   68      42         30         10           4           776           936         90
   69      45         35         10           2           680           840         90
   70      95         30         30           3          2321          2481         90
   71      95         35         20           4          2226          2386         90
   72      53         30         10           5             0          3276         90
   73      92         30         10           6          2414          2574         90
   74      53         35         50           7           213           373         90
   75      45         65         20           8             0          3284         90
   76      90         35         10          11          2131          2291         90
   77      72         45         10          10          2900          3060         90
   78      78         40         20          11          2802          2962         90
   79      87         30         10           2          2608          2768         90
   80      85         25         10           3          2513          2673         90
   81      85         35         30           4          2703          2863         90
   82      75         55         20           5             0          3264         90
   83      72         55         10           6             0          3267         90
   84      70         58         20           7          1641          1801         90
   85      86         46         30           8             0          3253         90
   86      66         55         10           5          1736          1896         90
   87      64         46         20          10          3097          3257         90
   88      65         60         30          11          1546          1706         90
   89      56         64         10           2          1355          1515         90
   90      60         55         10           3          3119          3279         90
   91      60         60         10           4             0          3277         90
   92      67         85         20           4           694           854         90
   93      42         58         40           6             8           168         90
   94      65         82         10           7             0          3259         90
   95      62         80         30           8             0          3262         90
   96      62         40         10          10             0          3275         90
   97      60         85         30          10           597           757         90
   98      58         75         20           4             0          3269         90
   99      55         80         10           4           407           567         90
  100      55         85         20           4           502           662         90
