RC207
CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND   IDTYPEVEHICLE   READYTIME   DUEDATE   SERVICETIME

    0      40         50          0           1              0        960          0
    1      25         85         20           2            591        874         10
    2      22         75         30           2             73        350         10
    3      22         85         10           5            473        588         10
    4      20         80         40           6            418        913         10
    5      20         85         20           6             40        390         10
    6      18         75         20           6            249        646         10
    7      15         75         20          10            281        438         10
    8      15         80         10          11            272        581         10
    9      10         35         20          11            236        625         10
   10      10         40         30          11            470        687         10
   11       8         40         40          10             33        510         10
   12       8         45         20           9            166        399         10
   13       5         35         10           9            359        911         10
   14       5         45         10           7             35        457         10
   15       2         40         20           8             39        538         10
   16       0         40         20           8            214        415         10
   17       0         45         20          10            359        909         10
   18      44          5         20          11            338        451         10
   19      42         10         40          22            205        422         10
   20      42         15         10           4            511        682         10
   21      40          5         10           4            158        391         10
   22      40         15         40           5            263        606         10
   23      38          5         30           6             45        522         10
   24      38         15         10           7            598        883         10
   25      35          5         20           7            348        904         10
   26      95         30         30           2            509        668         10
   27      95         35         20          10             57        664         10
   28      92         30         10           1             68        349         10
   29      90         35         10           2            131        376         10
   30      88         30         10           3            114        497         10
   31      88         35         20           4            102        347         10
   32      87         30         10           5            564        797         10
   33      85         25         10           2             51        673         10
   34      85         35         30           2            462        631         10
   35      67         85         20           2            396        905         10
   36      65         85         40           2             43        712         10
   37      65         82         10           4            530        703         10
   38      62         80         30           1            131        544         10
   39      60         80         10           2             36        800         10
   40      60         85         30           4            233        544         10
   41      58         75         20           4            207        664         10
   42      55         80         10           5             33        624         10
   43      55         85         20           6            549        718         10
   44      55         82         10           7             62        491         10
   45      20         82         10           6             37        677         10
   46      18         80         10          11            435        662         10
   47       2         45         10          10             38        366         10
   48      42          5         10          11            636        904         10
   49      42         12         10           2            423        576         10
   50      72         35         30           3            471        662         10
   51      55         20         19           4            281        490         10
   52      25         30          3           5            109        360         10
   53      20         50          5           6            284        585         10
   54      55         60         16           7            568        753         10
   55      30         60         16           8            421        896         10
   56      50         35         19           4            404        829         10
   57      30         25         23           4            347        566         10
   58      15         10         20           1            380        902         10
   59      10         20         19           2             42        466         10
   60      15         60         17           3            613        894         10
   61      45         65          9           4            230        405         10
   62      65         35          3           5             29        587         10
   63      65         20          6           6             39        353         10
   64      45         30         17           7             20        497         10
   65      35         40         16           8             11        570         10
   66      41         37         16           4            423        828         10
   67      64         42          9           4            112        543         10
   68      40         60         21           4            441        902         10
   69      31         52         27           2              9        532         10
   70      35         69         23           3            211        930         10
   71      65         55         14           4            201        400         10
   72      63         65          8           5             27        382         10
   73       2         60          5           6            255        436         10
   74      20         20          8           7            427        913         10
   75       5          5         16           8            183        400         10
   76      60         12         31          11            162        493         10
   77      23          3          7          10            360        900         10
   78       8         56         27          11            195        654         10
   79       6         68         30           2            258        565         10
   80      47         47         13           3            426        942         10
   81      49         58         10           4            369        460         10
   82      27         43          9           5             85        338         10
   83      37         31         14           6             19        326         10
   84      57         29         18           7            304        605         10
   85      63         23          2           8            318        489         10
   86      21         24         28           5            332        485         10
   87      12         24         13          10            365        472         10
   88      24         58         19          11            100        539         10
   89      67          5         25           2            565        897         10
   90      37         47          6           3            324        513         10
   91      49         42         13           4            651        906         10
   92      53         43         14           4             14        669         10
   93      61         52          3           6            298        928         10
   94      57         48         23           7            385        518         10
   95      56         37          6           8             20        299         10
   96      55         54         26          10            538        705         10
   97       4         18         35          10            546        667         10
   98      26         52          9           4            109        354         10
   99      26         35         15           4            170        565         10
  100      31         67          3           4            262        930         10
