Customized_Data
CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   IDTYPEVEHICLE

    0      40         50          0          0
    1      45         68         10        912
    2      45         70         30        825
    3      42         66         10         65
    4      42         68         10        727
    5      42         65         10         15
    6      40         69         20        621
    7      40         66         20        170
    8      38         68         20        255
    9      38         70         10        534
   10      35         66         10        357
   11      35         69         10        448
   12      25         85         20        652
   13      22         75         30         30
   14      22         85         10        567
   15      20         80         40        384
   16      20         85         40        475
   17      18         75         30         99
   18      15         75         20        179
   19      15         80         10        278
   20      30         50         10         10
   21      30         52         20        914
   22      28         52         20        812
   23      28         55         10        732
   24      25         50         10         65
   25      25         52         40        169
   26      25         55         10        622
   27      23         52         10        261
   28      23         55         20        546
   29      20         50         10        358
   30      20         55         10        449
   31      10         35         20        200
   32      10         40         30         31
   33       8         40         40         87
   34       8         45         20        751
   35       5         35         10        283
   36       5         45         10        665
   37       2         40         20        383
   38       0         40         30        479
   39       0         45         20        567
   40      35         30         10        264
   41      35         32         10        166
   42      33         32         20         68
   43      33         35         10         16
   44      32         30         10        359
   45      30         30         10        541
   46      30         32         30        448
   47      30         35         10       1054
   48      28         30         10        632
   49      28         35         10       1001
   50      26         32         10        815
   51      25         30         10        725
   52      25         35         10        912
   53      44          5         20        286
   54      42         10         40        186
   55      42         15         10         95
   56      40          5         30        385
   57      40         15         40         35
   58      38          5         30        471
   59      38         15         10        651
   60      35          5         20        562
   61      50         30         10        531
   62      50         35         20        262
   63      50         40         50        171
   64      48         30         10        632
   65      48         40         10         76
   66      47         35         10        826
   67      47         40         10         12
   68      45         30         10        734
   69      45         35         10        916
   70      95         30         30        387
   71      95         35         20        293
   72      53         30         10        450
   73      92         30         10        478
   74      53         35         50        353
   75      45         65         20        997
   76      45         65         20        997
   77      88         30         20        574
   78      88         35         20        109
   79      87         30         10        668
   80      85         25         10        769
   81      85         35         30         47
   82      75         55         20        369
   83      72         55         10        265
   84      70         58         20        458
   85      68         60         30        555
   86      66         55         10        173
   87      65         55         20         85
   88      65         60         30        645
   89      63         58         10        737
   90      60         55         10         20
   91      60         60         10        836
   92      67         85         20        368
   93      65         85         40        475
   94      65         82         10        285
   95      62         80         30        196
   96      60         80         10         95
   97      60         85         30        561
   98      58         75         20         30
   99      55         80         10        743
  100      55         85         20        647
