V11
VEHICLE
VEHICLE NO.  VEHICLENAME.   REGISTRATION.    CAPACITY.   IDTYPEVEHICLE
    0         CD001          03611-714-06       32           11
    1         CF058          01192-214-06       15           10
    2         CC043          01622-212-06       26           10
    3         CC040          03562-210-06       10           10
    4         CC028          01700-209-06       21           10
    5         TR247          07414-516-06       26           1
    6         TR246          07415-516-06       26           1
    7         TR245          07412-516-06       26           1
    8         TR244          07413-516-06       26           1
    9         TR243          07419-516-06       26           1
    10        TR259          06641-517-06       21           7
    11        TR254          06634-517-06       21           7
    12        TR251          06633-517-06       21           7
    13        TR102          00932-511-06       20           2
    14        CB054          01637-214-06       10           2
    15        CB053          01636-214-06       10           2
    16        CB047          04810-212-06       10           2
    17        CB045          07946-212-06       10           2
    18        CB044          07902-212-06       10           2
    19        CB032          04973-209-06       10           2
    20        CB031          04971-209-06       10           2
    21        CB025          03289-208-06       11           2
    22        CB024          00437-208-06       11           2
    23        CB023          00436-208-06       11           2
    24        CB022          00862-207-06       10           2
    25        CB021          00858-207-06       10           2
    26        CB004          01544-206-06        7           2
    27        CF059          01193-214-06       15           2
    28        CF057          06515-214-06        9           2
    29        CF056          03572-214-06        9           2
    30        CF055          03571-214-06        9           2
    31        CF052          00948-213-06       15           2
    32        CF051          00947-213-06       15           4
    33        CF049          00946-213-06       15           4
    34        CF048          00944-213-06       15           4
    35        CF042          01260-211-06       12           4
    36        CF039          00349-210-06       14           4
    37        CF038          00131-210-06        9           2
    38        CF037          00130-210-06       14           4
    39        CF036          00082-210-06       10           4
    40        CF035          00081-210-06        8           4
    41        CF030          03671-209-06        9           4
    42        CF029          03670-209-06        9           4
    43        CF016          02004-207-06       14           4
    44        CF008          03114-206-06        8           4
    45        CF002          00778-298-06       10           4
    46        TR269          05515-518-06       34           4
    47        TR268          05539-518-06       34           4
    48        TR267          05540-518-06       34           4
    49        TR266          05537-518-06       34           4
    50        TR265          05518-518-06       34           4
    51        TR264          05523-518-06       20           4
    52        TR263          05526-518-06       21           4
    53        TR262          05517-518-06       21           4
    54        TR261          05516-518-06       21           4
    55        TR260          05475-518-06       21           4
    56        TR258          06643-517-06       21           4
    57        TR257          06632-517-06       21           4
    58        TR256          06638-517-06       21           4
    59        TR255          06642-517-06       21           4
    60        TR253          06645-517-06       21           4
    61        TR252          06640-517-06       21           4
    62        TR250          06639-517-06       21           4
    63        TR249          07466-516-06       21           4
    64        TR248          07481-516-06       21           4
    65        TR242          07411-516-06       26           4
    66        TR241          07421-516-06       26           4
    67        TR240          07410-516-06       26           4
    68        TR239          07458-516-06       21           4
    69        TR238          07462-516-06       21           4
    70        TR237          07471-516-06       21           4
    71        TR236          07459-516-06       21           4
    72        TR235          07423-516-06       21           4
    73        TR234          07460-516-06       21           4
    74        TR233          07482-516-06       21           4
    75        TR232          07475-516-06       21           4
    76        TR231          07427-516-06       21           4
    77        TR230          07473-516-06       21           4
    78        TR229          07430-516-06       21           4
    79        TR228          07428-516-06       21           4
    80        TR227          07476-516-06       21           4
    81        TR226          07472-516-06       21           4
    82        TR225          07510-516-06       21           4
    83        TR224          07457-516-06       21           4
    84        TR223          07424-516-06       21           4
    85        TR222          07426-516-06       19           4
    86        TR221          07420-516-06       26           4
    87        TR220          07467-516-06       21           4
    88        TR219          07416-516-06       26           4
    89        TR218          07425-516-06       21           4
    90        TR217          07470-516-06       21           4
    91        TR216          07788-516-06       21           4
    92        TR215          07429-516-06       21           4
    93        TR214          07461-516-06       21           4
    94        TR213          07456-516-06       21           4
    95        TR212          07480-516-06       19           4
    96        TR211          07479-516-06       21           4
    97        TR210          07477-516-06       21           4
    98        TR208          00090-515-06       19           4
    99        TR206          05229-515-06       19           4
    100       TR205          02494-515-06       19           4
