generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness,Best individual,Best fitness,Total distance
0,0,0.005361534835906686,0.007045978786740229,0.006101593551079272,0.0006736606253212821,"[2, 7, 3, 4, 8, 5, 1, 10, 6, 9]",0.007045978786740229,141.9249234587382
1,0,0.005532596990752183,0.007045978786740229,0.006628511576242169,0.0006446358783587718,"[2, 7, 3, 4, 8, 5, 1, 10, 6, 9]",0.007045978786740229,141.9249234587382
2,0,0.005532596990752183,0.007045978786740229,0.006894640607141425,0.0004540145387964134,"[2, 7, 3, 4, 8, 5, 1, 10, 6, 9]",0.007045978786740229,141.9249234587382
3,1,0.005532596990752183,0.007045978786740229,0.0068946406071414236,0.0004540145387964432,"[6, 2, 8, 1, 10, 7, 3, 9, 4, 5]",0.007045978786740229,141.9249234587382
4,0,0.007045978786740229,0.007045978786740229,0.007045978786740228,1.1641532182693481e-10,"[6, 2, 8, 1, 10, 7, 3, 9, 4, 5]",0.007045978786740229,141.9249234587382
5,1,0.007045978786740229,0.007045978786740229,0.007045978786740228,1.1641532182693481e-10,"[6, 2, 8, 1, 10, 7, 3, 9, 4, 5]",0.007045978786740229,141.9249234587382
6,3,0.007045978786740229,0.007045978786740229,0.007045978786740228,1.1641532182693481e-10,"[6, 2, 8, 1, 10, 7, 3, 9, 4, 5]",0.007045978786740229,141.9249234587382
7,0,0.007045978786740229,0.007045978786740229,0.007045978786740228,1.1641532182693481e-10,"[6, 2, 8, 1, 10, 7, 3, 9, 4, 5]",0.007045978786740229,141.9249234587382
8,1,0.007045978786740229,0.007045978786740229,0.007045978786740228,1.1641532182693481e-10,"[6, 2, 8, 1, 10, 7, 3, 9, 4, 5]",0.007045978786740229,141.9249234587382
9,1,0.007045978786740229,0.007045978786740229,0.007045978786740228,1.1641532182693481e-10,"[6, 2, 8, 1, 10, 7, 3, 9, 4, 5]",0.007045978786740229,141.9249234587382
