generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness,Best individual,Best fitness,Total distance
0,1,0.0009790251874339264,0.001319761612064105,0.0011213172410549307,7.126156534068801e-05,"[3, 21, 10, 17, 30, 12, 9, 7, 20, 29, 15, 2, 11, 19, 8, 14, 25, 24, 1, 16, 4, 22, 13, 23, 5, 27, 6, 18, 26, 28]",0.001319761612064105,757.7125981380847
1,3,0.0010296189233907867,0.001269883476301484,0.0011446932184838612,5.280193813330428e-05,"[5, 30, 10, 20, 17, 4, 29, 16, 12, 13, 23, 28, 6, 24, 11, 15, 25, 9, 26, 7, 18, 19, 27, 1, 3, 22, 14, 8, 21, 2]",0.001269883476301484,787.4738262698595
2,3,0.0010296189233907867,0.001269883476301484,0.00115359829318754,5.0640589572744544e-05,"[5, 30, 10, 20, 17, 4, 29, 16, 12, 13, 23, 28, 6, 24, 11, 15, 25, 9, 26, 7, 18, 19, 27, 1, 3, 22, 14, 8, 21, 2]",0.001269883476301484,787.4738262698595
3,2,0.0010296189233907867,0.001269883476301484,0.0011431066766424004,4.394440261492074e-05,"[5, 30, 10, 20, 17, 4, 29, 16, 12, 13, 23, 28, 6, 24, 11, 15, 25, 9, 26, 7, 18, 19, 27, 1, 3, 22, 14, 8, 21, 2]",0.001269883476301484,787.4738262698595
4,2,0.0010296189233907867,0.001269883476301484,0.0011435958138239592,5.953011869347181e-05,"[5, 30, 10, 20, 17, 4, 29, 16, 12, 13, 23, 28, 6, 24, 11, 15, 25, 9, 26, 7, 18, 19, 27, 1, 3, 22, 14, 8, 21, 2]",0.001269883476301484,787.4738262698595
5,5,0.0010296189233907867,0.001269883476301484,0.001150338847013593,6.685461900955722e-05,"[5, 30, 10, 20, 17, 4, 29, 16, 12, 13, 23, 28, 6, 24, 11, 15, 25, 9, 26, 7, 18, 19, 27, 1, 3, 22, 14, 8, 21, 2]",0.001269883476301484,787.4738262698595
6,3,0.0010296189233907867,0.001269883476301484,0.0011359766063159574,6.995142757564685e-05,"[5, 30, 10, 20, 17, 4, 29, 16, 12, 13, 23, 28, 6, 24, 11, 15, 25, 9, 26, 7, 18, 19, 27, 1, 3, 22, 14, 8, 21, 2]",0.001269883476301484,787.4738262698595
7,4,0.0010296189233907867,0.001269883476301484,0.001147467523436621,7.484132385933166e-05,"[5, 30, 10, 20, 17, 4, 29, 16, 12, 13, 23, 28, 6, 24, 11, 15, 25, 9, 26, 7, 18, 19, 27, 1, 3, 22, 14, 8, 21, 2]",0.001269883476301484,787.4738262698595
8,3,0.001117691872389596,0.001269883476301484,0.0011803895978421196,6.834848504168477e-05,"[5, 30, 10, 20, 17, 4, 29, 16, 12, 13, 23, 28, 6, 24, 11, 15, 25, 9, 26, 7, 18, 19, 27, 1, 3, 22, 14, 8, 21, 2]",0.001269883476301484,787.4738262698595
9,2,0.001117691872389596,0.001269883476301484,0.0011894750682539636,7.054765067235653e-05,"[5, 30, 10, 20, 17, 4, 29, 16, 12, 13, 23, 28, 6, 24, 11, 15, 25, 9, 26, 7, 18, 19, 27, 1, 3, 22, 14, 8, 21, 2]",0.001269883476301484,787.4738262698595
